Day	Sphere index	Diameter/um	Concentration index	Sphere soln vol/uL	Water vol/ml	Recording	ROIx	ROIy	FPS	Exposure/ms	Particles tracked	um/px	d(um/px)
1	1	2.06	1	10	1	1	386	386	34.185	20.008	0	0.0891	0.0002
1	1	2.06	1	10	1	2	386	386	90.843	4.11	0	0.0891	0.0002
1	1	2.06	1	10	1	3	386	386	28.4	35.112	0	0.0891	0.0002
1	1	2.06	1	10	1	4	386	386	37.5	26.613	4	0.0891	0.0002
1	1	2.06	1	10	1	5	386	386	77.7	12.789	3	0.0891	0.0002
1	1	2.06	2	10	1.5	1	476	498	72.1	4.213	4	0.0891	0.0002
1	1	2.06	2	10	1.5	2	476	498	72.1	12.2	5	0.0891	0.0002
1	1	2.06	2	10	1.5	3	476	498	47.6	20.904	3	0.0891	0.0002
1	1	2.06	2	10	1.5	4	476	498	37.3	26.689	3	0.0891	0.0002
1	1	2.06	2	10	1.5	5	476	498	28.8	34.6	3	0.0891	0.0002
1	2	1.053	1	10	1	1	1004	980	28.8	34.6	2	0.0891	0.0002
1	2	1.053	1	10	1	2	1089	1039	36	25.409	2	0.0891	0.0002
1	2	1.053	1	10	1	3	1041	998	37.5	20.289	3	0.0891	0.0002
1	2	1.053	1	10	1	4	1062	1031	36.4	12.789	3	0.0891	0.0002
1	2	1.053	1	10	1	5	835	842	44.1	4.213	8	0.0891	0.0002
1	2	1.053	2	13.5	2	1	847	861	43.1	22.901	4	0.0891	0.0002
1	2	1.053	2	13.5	2	2	939	935	34.8	28.609	5	0.0891	0.0002
1	2	1.053	2	13.5	2	3	971	1013	28.8	34.6	5	0.0891	0.0002
1	2	1.053	2	13.5	2	4	982	966	38.7	4.008	7	0.0891	0.0002
1	2	1.053	2	13.5	2	5	874	952	39.1	12.712	4	0.0891	0.0002
2	1	1.06	1	20	2	1	48	46	5.7	175.195	1	0.064	0.0001
2	1	1.06	1	20	2	2	80	84	24.8	40.309	1	0.064	0.0001
2	1	1.06	1	20	2	3	53	64	10.9	91.79	1	0.064	0.0001
2	1	1.06	1	20	2	4	53	64	10.9	91.79	1	0.064	0.0001
2	1	1.06	1	20	2	5	80	72	20	50.11	1	0.064	0.0001
2	2	2.06	1	20	1	1	80	60	20	50.11	1	0.064	0.0001
2	2	2.06	1	20	1	2	80	60	11.2	11.2	1	0.064	0.0001
2	2	2.06	1	20	1	3	80	60	27.9	27.9	1	0.064	0.0001
2	2	2.06	1	20	1	4	80	60	7.6	7.6	1	0.064	0.0001
